Category,SubCategory,Extension,Products
Household,120
Household,43
Household,198
Household,96
Household,25
Household,131
Household,46
Household,4
Household,40
Household,40
Household,14
Household,12
Household,16
Household,64
Household,27
Household,20
Household,9
Household,21
Household,24
Household,0
Household,0
Household,11
Household,36
Household,80
Household,69
Household,121
Household,25
Household,23
Household,69
Household,35
Household,141
Household,58
Household,46
Household,113
Household,55
Household,10
Household,7
Household,73
Household,25
Household,66
Household,90
Household,33
Household,26
Household,71
Household,48
Household,30
Household,10
Household,56
Household,21
Household,11
Household,44
Household,25
Household,39
Household,21
Household,74
Household,32
Household,24
Household,21
Household,110
Household,38
Household,14
Household,85
Household,106
Household,123
Household,136
Household,27
Household,58
Household,5
Household,16
Household,0
Household,8
Household,19
Household,1
Household,5
Household,15
Household,1
Household,0
Household,1
Household,4
Household,11
Household,2
Household,27
Household,0
Household,5
Household,2
Household,9
Household,113
Household,0
Household,1
Household,0
Household,0
Household,1
Household,0
Household,1
Household,22
Household,20
Household,0
Household,39
Household,12
Household,6
Household,0
Household,27
Household,23
Household,11
Household,0
Household,0
Household,46
Household,40
Household,74
Household,42
Household,47
Household,21
Household,11
Household,59
Household,0
Household,48
Household,96
Household,41
Household,94
Household,14
Household,55
Household,46
Household,10
Household,0
Household,15
Household,13
Household,33
Household,17
Household,24
Household,3
Household,3
Household,0
Household,4
Household,0
Household,40
Household,0
Household,0
Household,0
Household,0
Household,0
Household,0
Household,0
Baby,44
Baby,6
Baby,13
Baby,11
Baby,10
Baby,51
Baby,6
Baby,3
Baby,0
Baby,41
Baby,3
Baby,51
Baby,26
Baby,56
Baby,61
Baby,15
Baby,131
Baby,15
Baby,16
Baby,19
Baby,19
Baby,35
Baby,33
Baby,5
Baby,0
Baby,1
Baby,0
Baby,22
Baby,46
Baby,46
Baby,3
Baby,0
Baby,0
Baby,47
Baby,2
Baby,2
Baby,19
Baby,0
Baby,0
Baby,0
Baby,0
Baby,0
Baby,1
Baby,0
Baby,0
Baby,0
Baby,29
Baby,0
Baby,0
Baby,15
Baby,6
Baby,5
Baby,0
Baby,0
Baby,2
Baby,0
Baby,11
Baby,7
Baby,3
Baby,0
Baby,0
Baby,0
Baby,0
Baby,0
Baby,0
Baby,0
Baby,0
Baby,0
Pantry,125
Pantry,142
Pantry,59
Pantry,82
Pantry,76
Pantry,64
Pantry,29
Pantry,19
Pantry,12
Pantry,72
Pantry,20
Pantry,45
Pantry,102
Pantry,80
Pantry,53
Pantry,120
Pantry,156
Pantry,26
Pantry,14
Pantry,30
Pantry,0
Pantry,95
Pantry,13
Pantry,54
Pantry,79
Pantry,6
Pantry,75
Pantry,142
Pantry,39
Pantry,87
Pantry,37
Pantry,17
